rank,Country,worldPercentage,growthRate,density,CCA3,Capital,Continent,2023 Population,2022 Population,2020 Population,2015 Population,2010 Population,2000 Population,1990 Population,1980 Population,1970 Population,Area (km²)
169,Montenegro,0.007788599648596574,-0.001,46.5788,MNE,Podgorica,Europe,626485.0,627082.0,629048.0,633966.0,631044.0,633324.0,621442.0,589324.0,530268.0,13812.0
170,Suriname,0.007748207364250915,0.0084,3.9951,SUR,Paramaribo,South America,623236.0,618040.0,607065.0,575475.0,546080.0,478998.0,412756.0,375112.0,379918.0,163820.0
171,Cape Verde,0.007442946622538599,0.0093,148.4458,CPV,Praia,Africa,598682.0,593149.0,582640.0,552166.0,521212.0,458251.0,364563.0,317234.0,287262.0,4033.0
172,Western Sahara,0.007300933367973976,0.0196,2.2077,ESH,El Aaiún,Africa,587259.0,575986.0,556048.0,491824.0,413296.0,270375.0,178529.0,116775.0,76371.0,266000.0
173,Malta,0.006652033619921751,0.0033,1672.075,MLT,Valletta,Europe,535064.0,533286.0,515357.0,456579.0,418755.0,399212.0,365392.0,333587.0,315414.0,316.0
174,Maldives,0.006477447947694575,-0.0053,1736.7367,MDV,Malé,Asia,521021.0,523787.0,514438.0,435582.0,0.0,0.0,224957.0,164887.0,123243.0,300.0
175,Brunei,0.005625878141346586,0.0078,85.8679,BRN,Bandar Seri Begawan,Asia,452524.0,449002.0,441725.0,421437.0,396053.0,333926.0,261928.0,187921.0,133343.0,5765.0
176,Bahamas,0.005129820111898712,0.0064,41.2211,BHS,Nassau,North America,412623.0,409984.0,406471.0,392697.0,373272.0,325014.0,270679.0,223752.0,179129.0,13943.0
177,Belize,0.005107466979472274,0.0137,18.0107,BLZ,Belmopan,North America,410825.0,405272.0,394921.0,359871.0,322106.0,240406.0,182589.0,145133.0,120905.0,22966.0
178,Guadeloupe,0.004921157723330677,0.0002,243.1443,GLP,Basse-Terre,North America,395839.0,395752.0,395642.0,399089.0,403072.0,424067.0,391951.0,334234.0,318310.0,1628.0
179,Iceland,0.004666036126821822,0.0065,3.7223,ISL,Reykjavík,Europe,375318.0,372899.0,366669.0,331060.0,318333.0,281462.0,0.0,0.0,204468.0,103000.0
180,Martinique,0.004562388704664309,-0.0014,325.3378,MTQ,Fort-de-France,North America,366981.0,367507.0,370391.0,383515.0,392181.0,432543.0,374271.0,333786.0,326428.0,1128.0
